hour,weekday,average
15,5,8.940916862264475
15,6,9.062067724788514
17,5,9.074465610577004
15,4,9.125305360151408
11,5,9.162547667155907
9,5,9.185481729048595
16,5,9.213692631340734
14,5,9.21496961345313
17,4,9.272188750072422
11,4,9.280444118809095
10,5,9.29035803371231
9,3,9.294585627461043
12,5,9.29479335834098
9,4,9.306555476778543
12,4,9.33174057865246
14,4,9.341190152323513
16,6,9.356131915503099
15,3,9.371040509174659
17,6,9.371906411200662
11,3,9.392551547299117
10,4,9.404187220975665
14,6,9.4177207432816
16,4,9.4502450394213
18,5,9.461726906663387
10,3,9.464080154366496
12,3,9.487996365453375
13,5,9.525644688539462
13,4,9.561975264036787
8,5,9.562065188303864
11,6,9.578412720172192
14,3,9.580465268890196
17,3,9.587519089397597
8,3,9.596683127663207
9,6,9.632735760020019
8,4,9.63449175540574
18,4,9.696908038760368
16,3,9.72426692962866
10,6,9.739631725664504
12,6,9.758871969261966
13,3,9.80853619211504
18,6,9.82598898524616
13,6,9.977710679792681
8,6,9.99691280772752
18,3,10.012832346780636
9,2,10.243865567805097
19,7,10.363258255801204
8,2,10.36455958113877
18,7,10.373970961604227
15,2,10.45990410764594
19,5,10.506933478399768
19,6,10.525446831418181
17,7,10.535007074402813
11,2,10.60280664678859
16,7,10.606204823464797
15,7,10.620555395053726
17,2,10.632665394335445
10,2,10.633590350678826
14,2,10.745763251306498
12,2,10.759784058337212
16,2,10.777092928326633
14,7,10.851432923144735
13,7,10.947103592293852
19,4,10.95093026171349
13,2,11.016904439450565
20,7,11.05602600700194
18,2,11.063255588560517
12,7,11.186818518078498
19,3,11.360465155581691
20,6,11.392611742167716
21,7,11.526151239998953
20,5,11.541975873967527
22,7,11.587099148391774
15,1,11.658583482013501
16,1,11.666832322335274
11,7,11.717726036308612
17,1,11.728948551825845
7,3,11.745421116877006
7,5,11.750577407973676
14,1,11.763636997066142
7,4,11.801404402772315
21,6,11.943502263570574
18,1,11.963346483862559
23,7,11.988107409555514
22,6,12.047422265271297
13,1,12.090053831368
21,5,12.141096304269677
7,6,12.147229617587776
20,4,12.18439502193322
12,1,12.442348480935351
19,2,12.445842004238306
23,6,12.465718017354382
7,2,12.521705944604234
20,3,12.629450102498335
10,7,12.647260588750967
19,1,12.703996499284845
0,1,12.716866199474541
22,5,12.732129149108019
21,4,12.84795706237128
0,7,13.14327870671209
11,1,13.148852708403362
21,3,13.26925069754392
1,1,13.432236079958706
22,4,13.45715663709258
20,2,13.656287798069734
23,5,13.686613594425012
20,1,13.69178795383938
9,7,13.692545817360765
1,7,13.721530055962418
22,3,13.94510947113937
2,1,14.268206934011177
2,7,14.279970917304613
21,2,14.332067096779973
10,1,14.39829397344372
23,4,14.504530546340778
21,1,14.54313733371144
0,6,14.790663667781997
23,3,15.128543956377959
22,2,15.131174631002205
3,1,15.234029636185824
3,7,15.314160481129894
8,7,15.370117663933009
6,3,15.484742375226446
6,5,15.549426600646886
6,4,15.567840497264534
22,1,15.743761974630162
1,6,15.74526291563306
0,5,15.789714038804847
9,1,15.831086341441422
6,6,15.9354580216851
6,2,16.179495664502618
2,6,16.21037037063619
0,4,16.336418705114585
23,2,16.491903700214827
1,5,16.58095301227603
2,5,16.900799948152855
4,1,17.041699056674055
1,4,17.06708211843763
2,4,17.178424436374225
3,6,17.2156335789877
4,7,17.287123279016782
23,1,17.538535282814674
8,1,17.59861866501854
0,3,17.726786364276563
2,3,17.85673130928329
7,7,17.88876404426131
3,5,17.93616444034119
2,2,18.00024136062872
3,4,18.10322526968707
1,3,18.13150647257191
1,2,18.58612611921284
3,3,18.765835531517602
0,2,18.817130475855585
3,2,18.817268253736053
5,3,19.849074545804005
5,4,20.0070948012724
5,5,20.007302501772056
7,1,20.063116531630413
5,6,20.32991736639618
4,6,20.3664262342857
6,7,20.42372482325357
5,2,20.85500836474993
4,5,21.131159372640685
5,7,21.21152087305252
4,4,21.33380205317627
5,1,21.370055333849667
4,3,21.611172678430027
6,1,22.05990688127282
4,2,22.066822354051787
