locationID,Borough,Zone,service_zone,count,0_tip_ratio
51,Bronx,Co-Op City,Boro Zone,878.0,0.8018264840182648
222,Brooklyn,Starrett City,Boro Zone,342.0,0.7953488372093023
81,Bronx,Eastchester,Boro Zone,433.0,0.7787769784172662
35,Brooklyn,Brownsville,Boro Zone,717.0,0.7734627831715211
254,Bronx,Williamsbridge/Olinville,Boro Zone,694.0,0.7719688542825361
117,Queens,Hammels/Arverne,Boro Zone,349.0,0.7210743801652892
213,Bronx,Soundview/Castle Hill,Boro Zone,921.0,0.7161741835147745
76,Brooklyn,East New York,Boro Zone,1226.0,0.7029816513761468
32,Bronx,Bronxdale,Boro Zone,330.0,0.7021276595744681
242,Bronx,Van Nest/Morris Park,Boro Zone,796.0,0.6964129483814523
47,Bronx,Claremont/Bathgate,Boro Zone,318.0,0.6838709677419355
39,Brooklyn,Canarsie,Boro Zone,922.0,0.6506704304869443
235,Bronx,University Heights/Morris Heights,Boro Zone,536.0,0.646562123039807
248,Bronx,West Farms/Bronx River,Boro Zone,323.0,0.6447105788423154
250,Bronx,Westchester Village/Unionport,Boro Zone,353.0,0.6418181818181818
86,Queens,Far Rockaway,Boro Zone,308.0,0.6403326403326404
108,Brooklyn,Gravesend,Boro Zone,322.0,0.6388888888888888
183,Bronx,Pelham Bay,Boro Zone,232.0,0.6373626373626373
205,Queens,Saint Albans,Boro Zone,933.0,0.6199335548172757
60,Bronx,Crotona Park East,Boro Zone,202.0,0.6196319018404908
